label,sport_and_travel,buy_and_sell,health_and_family,jobs,love,social_learning,suport,new,comic_and_film,music,gaming,school_and_class,club
__label__25-34,0,0,3,1,2,0,0,0,0,0,0,0,0
__label__45-54,0,2,1,0,0,0,0,0,0,0,0,0,0
__label__18-24,0,6,3,2,3,1,0,0,0,0,0,1,7
__label__18-24,0,14,0,0,0,0,0,1,0,0,0,0,0
__label__45-54,0,2,3,1,7,0,0,1,0,4,0,0,2
__label__25-34,0,7,2,0,3,0,0,0,0,0,0,0,0
__label__25-34,0,0,0,0,1,0,0,0,0,0,0,0,1
__label__45-54,0,3,3,0,3,0,0,1,0,19,0,0,1
__label__25-34,0,0,1,0,0,0,0,0,0,0,0,1,1
__label__18-24,0,0,1,0,1,0,0,0,0,0,1,0,0
__label__35-44,0,0,1,0,1,0,0,0,0,0,0,0,0
__label__55+,0,0,2,0,0,0,0,0,0,0,0,0,3
__label__18-24,0,3,2,0,1,0,0,0,0,0,0,0,0
__label__18-24,0,4,1,0,12,1,0,1,1,1,0,0,8
__label__25-34,0,0,0,0,1,1,0,0,0,0,0,1,1
__label__35-44,0,1,0,0,0,1,0,0,0,0,0,0,0
__label__45-54,0,4,0,0,0,2,0,0,0,2,0,0,3
__label__25-34,0,4,0,0,1,0,0,0,0,0,0,0,0
__label__18-24,0,4,1,0,2,0,0,1,1,0,1,0,6
__label__45-54,0,4,2,0,1,0,1,1,0,0,1,0,2
__label__18-24,0,0,2,1,2,2,0,0,0,0,0,1,2
__label__18-24,0,16,8,7,12,3,0,0,0,0,3,0,16
__label__18-24,0,1,0,0,2,0,0,0,0,0,0,0,1
__label__25-34,0,3,0,0,1,0,1,0,0,1,0,0,13
__label__18-24,0,16,2,2,10,2,0,1,0,7,1,0,4
__label__18-24,1,2,1,0,4,0,0,1,0,0,0,0,2
__label__18-24,0,1,2,0,0,1,0,0,0,0,0,0,7
__label__25-34,0,17,26,2,6,1,0,0,0,1,0,0,10
__label__18-24,1,9,0,2,2,8,1,1,0,1,1,1,5
__label__18-24,0,1,1,0,4,0,0,0,0,0,1,0,1
__label__18-24,0,2,3,0,3,0,0,0,0,0,1,0,3
__label__45-54,0,1,0,1,0,0,0,0,0,0,0,1,6
__label__18-24,0,5,4,0,3,0,0,1,0,0,1,0,3
__label__18-24,2,18,8,2,4,2,0,0,1,1,9,0,18
__label__35-44,0,1,0,0,1,1,0,1,0,0,0,0,2
__label__35-44,0,4,0,1,1,3,0,3,0,0,0,1,5
__label__45-54,0,0,0,0,0,0,0,1,0,0,0,0,1
__label__18-24,0,3,1,0,1,0,0,0,0,1,1,0,1
__label__25-34,0,4,1,0,0,0,0,0,0,0,0,0,2
__label__18-24,0,1,16,5,15,80,0,0,1,1,0,5,16
__label__25-34,1,0,1,0,1,0,0,1,0,0,0,0,0
__label__35-44,0,0,2,1,1,0,0,0,0,0,0,0,1
__label__18-24,0,1,0,0,17,1,0,2,0,0,0,0,8
__label__18-24,0,3,0,0,0,0,0,0,0,0,0,0,1
__label__45-54,1,4,3,0,9,0,0,0,0,25,0,0,6
__label__35-44,0,8,3,0,3,1,0,1,0,0,0,1,6
__label__25-34,0,1,3,0,1,0,0,1,0,0,0,1,0
__label__18-24,0,28,6,1,11,7,0,1,1,1,0,3,7
__label__18-24,0,2,0,2,5,0,0,1,1,0,3,0,16
__label__18-24,0,2,1,0,0,0,0,0,0,0,1,0,2
__label__18-24,0,3,1,0,4,2,0,1,0,0,0,3,7
__label__55+,0,0,4,1,1,1,0,0,0,12,0,0,6
__label__25-34,0,3,1,2,1,1,1,1,0,0,1,0,8
__label__18-24,0,1,1,1,2,0,0,1,0,0,0,0,7
__label__35-44,0,2,3,0,1,0,0,0,0,0,0,0,2
__label__45-54,0,0,1,0,1,0,0,0,0,0,0,0,0
__label__25-34,0,1,5,0,2,2,0,0,0,0,0,0,3
__label__25-34,0,0,1,0,0,0,0,0,0,0,0,0,2
__label__18-24,0,8,4,0,8,0,0,1,0,0,0,1,3
__label__25-34,0,2,4,0,0,0,0,0,0,1,1,1,3
__label__45-54,0,5,1,2,2,0,0,0,0,4,0,0,0
__label__25-34,0,4,2,0,2,0,0,0,0,0,0,0,1
__label__18-24,0,10,3,2,7,6,0,0,5,1,1,0,12
__label__25-34,0,2,1,0,1,0,0,1,0,0,2,0,1
__label__25-34,0,7,5,10,1,2,0,0,0,0,0,1,16
__label__18-24,0,0,0,0,0,0,0,0,0,0,1,0,1
__label__55+,3,12,4,0,7,3,0,1,0,2,0,3,11
__label__18-24,0,3,5,0,1,0,1,1,0,0,0,1,5
__label__25-34,1,2,0,1,2,0,0,0,0,0,0,0,3
__label__35-44,0,7,0,0,0,0,0,0,0,0,0,0,0
__label__25-34,0,0,2,0,2,0,0,0,0,1,0,0,1
__label__45-54,0,0,0,0,0,0,0,0,0,0,0,1,1
__label__18-24,0,3,0,4,0,0,0,0,0,0,0,0,2
__label__18-24,0,0,1,1,0,0,0,0,0,0,0,0,0
__label__35-44,1,4,2,0,2,12,0,0,1,0,0,1,1
__label__25-34,0,0,0,0,1,0,0,0,0,0,0,0,1
__label__45-54,0,2,0,0,0,0,0,0,0,0,0,0,0
__label__25-34,1,18,3,3,1,2,0,0,0,0,1,0,5
__label__18-24,0,2,1,0,2,0,0,1,0,0,0,0,0
__label__25-34,0,0,1,0,0,0,0,0,0,0,0,1,0
__label__18-24,4,39,13,14,4,11,0,2,1,12,0,4,34
__label__25-34,0,46,22,0,1,2,0,0,0,0,0,0,2
__label__25-34,0,1,0,0,0,0,0,0,0,0,0,0,1
__label__35-44,35,166,32,10,11,1,2,2,0,3,0,1,41
__label__18-24,0,3,0,1,0,0,0,0,0,0,0,0,1
__label__25-34,0,1,0,1,0,0,0,0,0,0,0,0,0
__label__45-54,1,6,3,0,5,1,0,1,0,1,1,0,1
__label__35-44,0,2,6,1,1,0,0,0,0,2,1,0,3
__label__45-54,1,2,0,0,0,0,0,1,0,0,2,0,3
__label__55+,0,0,2,0,0,0,0,0,0,0,0,0,0
__label__45-54,0,3,3,0,1,1,0,0,0,0,0,0,1
__label__18-24,0,1,1,0,1,0,0,0,0,0,0,0,0
__label__35-44,0,3,1,1,0,0,0,0,0,0,0,0,1
__label__35-44,0,3,2,2,0,2,0,0,0,0,0,0,4
__label__45-54,0,7,26,0,0,0,0,0,0,0,0,0,1
__label__55+,1,14,25,2,6,4,0,5,0,2,1,1,19
__label__25-34,0,6,3,1,4,2,0,2,0,0,0,1,4
